* Transaktionsrapport Period 2026-06-01 – 2026-08-11 Skapad 2026-08-11 09:00 CEST
Radnr,Clnr,Kontonr,Produkt,Valuta,Bokfdag,Transdag,Valutadag,Referens,Text,Belopp,Saldo
1,8000,0000123456,"Företagskonto",SEK,2026-08-11,2026-08-11,2026-08-11,"GOOGLE *WORKSPACE_DEMO DUBLIN","Kortköp/uttag",-249.00,193092.37
2,8000,0000123456,"Företagskonto",SEK,2026-08-11,2026-08-11,2026-08-11,"SLACK T01ABCDEFG      DUBLIN 1","Kortköp/uttag",-189.50,193341.37
3,8000,0000123456,"Företagskonto",SEK,2026-08-10,2026-08-10,2026-08-10,"Moms","Bg-bet. via internet",-18450.00,193530.87
4,8000,0000123456,"Företagskonto",SEK,2026-08-10,2026-08-10,2026-08-10,"Arbetsgivaravgift","Bg-bet. via internet",-9820.00,211980.87
5,8000,0000123456,"Företagskonto",SEK,2026-08-10,2026-08-10,2026-08-10,"Avdragen skatt","Bg-bet. via internet",-12300.00,221800.87
6,8000,0000123456,"Företagskonto",SEK,2026-08-07,2026-08-07,2026-08-07,"12345678","Bankgiro inbetalning",62500.00,234100.87
7,8000,0000123456,"Företagskonto",SEK,2026-08-05,2026-08-05,2026-08-05,"FIGMA               SAN FRANCISCO","Kortköp/uttag",-489.42,171600.87
8,8000,0000123456,"Företagskonto",SEK,2026-08-04,2026-08-04,2026-08-04,"Hyra augusti","Bg-bet. via internet",-9375.00,172090.29
9,8000,0000123456,"Företagskonto",SEK,2026-08-03,2026-08-03,2026-08-03,"GOOGLE *CLOUD 4XK2M9  DUBLIN","Kortköp/uttag",-34.10,181465.29
10,8000,0000123456,"Företagskonto",SEK,2026-08-03,2026-08-03,2026-08-03,"ANTHROPIC* CLAUDE SUB SAN FRANCISCO","Kortköp/uttag",-1256.09,181499.39
11,8000,0000123456,"Företagskonto",SEK,2026-08-03,2026-08-03,2026-08-03,"ANTHROPIC* CLAUDE SUB SAN FRANCISCO","Kortköp/uttag",-1256.09,182755.48
12,8000,0000123456,"Företagskonto",SEK,2026-08-01,2026-08-01,2026-08-01,"TELEOPERATOREN AB","Autogiro",-449.00,184011.57
13,8000,0000123456,"Företagskonto",SEK,2026-07-31,2026-07-31,2026-07-31,"12345678","Bankgiro inbetalning",41250.00,184460.57
14,8000,0000123456,"Företagskonto",SEK,2026-07-29,2026-07-29,2026-07-29,"NETLIFY             SAN FRANCISCO","Kortköp/uttag",-193.78,143210.57
15,8000,0000123456,"Företagskonto",SEK,2026-07-28,2026-07-28,2026-07-28,"Löneutbetalning","Lönelikvid lista",-32000.00,143404.35
16,8000,0000123456,"Företagskonto",SEK,2026-07-25,2026-07-25,2026-07-25,"GOOGLE *WORKSPACE_DEMO DUBLIN","Kortköp/uttag",-249.00,175404.35
17,8000,0000123456,"Företagskonto",SEK,2026-07-22,2026-07-22,2026-07-22,"TRELLO.COM* ATLASSIAN NEW YORK","Kortköp/uttag",-119.00,175653.35
18,8000,0000123456,"Företagskonto",SEK,2026-07-20,2026-07-20,2026-07-20,"Moms","Bg-bet. via internet",-16200.00,175772.35
19,8000,0000123456,"Företagskonto",SEK,2026-07-18,2026-07-18,2026-07-18,"AIMO AIMO PARK 4XK2M9","Kortköp/uttag",-85.00,191972.35
20,8000,0000123456,"Företagskonto",SEK,2026-07-15,2026-07-15,2026-07-15,"Kontorsmaterial Nord AB","Bg-bet. via internet",-2340.00,192057.35
21,8000,0000123456,"Företagskonto",SEK,2026-07-12,2026-07-12,2026-07-12,"12345678","Bankgiro inbetalning",28750.00,194397.35
22,8000,0000123456,"Företagskonto",SEK,2026-07-08,2026-07-08,2026-07-08,"FIGMA               SAN FRANCISCO","Kortköp/uttag",-489.42,165647.35
23,8000,0000123456,"Företagskonto",SEK,2026-07-04,2026-07-04,2026-07-04,"Hyra juli","Bg-bet. via internet",-9375.00,166136.77
24,8000,0000123456,"Företagskonto",SEK,2026-07-03,2026-07-03,2026-07-03,"GOOGLE *CLOUD 4XK2M9  DUBLIN","Kortköp/uttag",-28.75,175511.77
25,8000,0000123456,"Företagskonto",SEK,2026-07-03,2026-07-03,2026-07-03,"ANTHROPIC* CLAUDE SUB SAN FRANCISCO","Kortköp/uttag",-1249.80,175540.52
26,8000,0000123456,"Företagskonto",SEK,2026-07-01,2026-07-01,2026-07-01,"TELEOPERATOREN AB","Autogiro",-449.00,176790.32
27,8000,0000123456,"Företagskonto",SEK,2026-06-30,2026-06-30,2026-06-30,"Trängselskatt","Autogiro",-218.00,177239.32
28,8000,0000123456,"Företagskonto",SEK,2026-06-28,2026-06-28,2026-06-28,"Löneutbetalning","Lönelikvid lista",-32000.00,177457.32
29,8000,0000123456,"Företagskonto",SEK,2026-06-26,2026-06-26,2026-06-26,"SLACK T01ABCDEFG      DUBLIN 1","Kortköp/uttag",-189.50,209457.32
30,8000,0000123456,"Företagskonto",SEK,2026-06-24,2026-06-24,2026-06-24,"12345678","Bankgiro inbetalning",53400.00,209646.82
31,8000,0000123456,"Företagskonto",SEK,2026-06-20,2026-06-20,2026-06-20,"Moms","Bg-bet. via internet",-14980.00,156246.82
32,8000,0000123456,"Företagskonto",SEK,2026-06-18,2026-06-18,2026-06-18,"GITHUB, INC.        SAN FRANCISCO","Kortköp/uttag",-212.44,171226.82
33,8000,0000123456,"Företagskonto",SEK,2026-06-15,2026-06-15,2026-06-15,"Företagsförsäkring","Autogiro",-1875.00,171439.26
34,8000,0000123456,"Företagskonto",SEK,2026-06-12,2026-06-12,2026-06-12,"AIMO AIMO PARK 4XK2M9","Kortköp/uttag",-110.00,173314.26
35,8000,0000123456,"Företagskonto",SEK,2026-06-08,2026-06-08,2026-06-08,"GOOGLE *WORKSPACE_DEMO DUBLIN","Kortköp/uttag",-249.00,173424.26
36,8000,0000123456,"Företagskonto",SEK,2026-06-04,2026-06-04,2026-06-04,"Hyra juni","Bg-bet. via internet",-9375.00,173673.26
37,8000,0000123456,"Företagskonto",SEK,2026-06-03,2026-06-03,2026-06-03,"GOOGLE *CLOUD 4XK2M9  DUBLIN","Kortköp/uttag",-19.40,183048.26
38,8000,0000123456,"Företagskonto",SEK,2026-06-02,2026-06-02,2026-06-02,"ANTHROPIC* CLAUDE SUB SAN FRANCISCO","Kortköp/uttag",-1252.89,183067.66
39,8000,0000123456,"Företagskonto",SEK,2026-06-01,2026-06-01,2026-06-01,"TELEOPERATOREN AB","Autogiro",-449.00,184320.55
